"名称","品牌","评分","年份","属性","香调"
"爱马仕之旅Hermes Voyage d'Hermes, 2010","爱马仕之旅Hermes ",9,2010,"中性香","木质花香调  "
"爱马仕 杜嘉班纳 浅蓝女士Dolce&Gabbana Light Blue, 2001","爱马仕 ",9,2001,"女香 ","花香果香调  "
"祖玛珑 蓝色风铃草Jo Malone Wild Bluebell, 2011","祖玛珑 ",9,2011,"女香 ","绿叶花香调  "
"香奈儿 水晶恋Chanel Cristalle Eau de Toilette, 1974","香奈儿 ",9,1974,"女香 ","柑橘馥奇香调  "
"祖玛珑 鼠尾草与海盐Jo Malone Wood Sage & Sea Salt, 2014","祖玛珑 ",9,2014,"中性香","馥奇香调  "
"迪奥 蛊媚奇葩（红毒）Dior Hypnotic Poison, 1998","迪奥 ",9,1998,"女香 ","东方美食调  "
"宝格丽 水能量（碧蓝）Bvlgari Aqva Pour Homme, 2005","宝格丽 ",9,2005,"男香 ","水生馥奇香调  "
"迪奥 毒药（紫毒）Dior Poison, 1985","迪奥 ",9,1985,"女香 ","东方花香调  "
"阿莎罗 同名男士（卡门情人）Azzaro pour Homme, 1978","阿莎罗 ",9,1978,"男香 ","馥奇香调  "
"娇兰 瞬间男士Guerlain L'Instant de Guerlain pour Homme, 2004","娇兰 ",8.9,2004,"男香 ","辛辣木质调  "
"香奈儿 5号Chanel N°5, 1921","香奈儿 ",8.9,1921,"女香 ","醛香花香调  "
"宝格丽 活力海洋（海蓝）Bvlgari Aqva Pour Homme Marine, 2008","宝格丽 ",8.9,2008,"男香 ","水生馥奇香调  "
"普拉达 鸢尾花男士Prada Infusion d'Homme, 2008","普拉达 ",8.9,2008,"男香 ","木质馥奇香调  "
"香奈儿 邂逅柔情（粉邂逅）Chanel Chance Eau Tendre, 2010","香奈儿 ",8.9,2010,"女香 ","花香果香调  "
"娇兰 花草水语-柑橘罗勒Guerlain Aqua Allegoria Mandarine Basilic, 2007","娇兰 ",8.9,2007,"女香 ","柑橘馥奇香调  "
"迪奥 冰火奇葩（白毒）Dior Pure Poison, 2004","迪奥 ",8.9,2004,"女香 ","花香调  "
"祖玛珑 浓古龙-丝绒玫瑰与乌木Jo Malone Velvet Rose & Oud, 2012","祖玛珑 ",8.9,2012,"中性香","东方花香调  "
"迪奥 花漾甜心Dior Miss Dior Cherie Blooming Bouquet, 2007","迪奥 ",8.9,2007,"女香 ","花香调  "
"浪凡 琶音Lanvin Arpege, 1927","浪凡 ",8.9,1927,"女香 ","醛香花香调  "
"娇兰 花草水语-薄荷青草Guerlain Aqua Allegoria Herba Fresca, 1999","娇兰 ",8.9,1999,"中性香","绿叶馥奇香调  "
"阿玛尼 挚爱Giorgio Armani Si, 2013","阿玛尼 ",8.9,2013,"女香 ","果香甘苔调  "
"高田贤三 禅风之竹Kenzo Homme  Boisee, 2010","高田贤三 ",8.9,2010,"男香 ","木质馥奇香调  "
"香奈儿 邂逅清新（绿邂逅）Chanel Chance Eau Fraiche, 2007","香奈儿 ",8.9,2007,"女香 ","花香甘苔调  "
"宝格丽 花舞轻盈（紫晶）Bvlgari Omnia Amethyste, 2006","宝格丽 ",8.9,2006,"女香 ","木质花香调  "
"蔻依 水漾玫瑰（绿丝带）Chloe L'Eau de Chloe, 2012","蔻依 ",8.9,2012,"女香 ","花香甘苔调  "
"D二次方 落基山木缘DSQUARED2 He Wood Rocky Mountain Wood, 2009","D二次方 ",8.9,2009,"男香 ","木质调  "
"祖玛珑 英国梨与小苍兰Jo Malone English Pear & Freesia, 2010","祖玛珑 ",8.9,2010,"女香 ","果香甘苔调  "
"三宅一生 一生之水男士Issey Miyake L'Eau d'Issey Pour Homme, 1994","三宅一生 ",8.9,1994,"男香 ","水生木质调  "
"浪凡 光韵Lanvin Eclat d'Arpège, 2002","浪凡 ",8.9,2002,"女香 ","花香果香调  "
"爱马仕 大地清新版Hermes Terre d'Hermes Eau Tres Fraiche, 2014","爱马仕 ",8.9,2014,"男香 ","木质馥奇香调  "
"爱马仕 雪白龙胆Hermes Eau de Gentiane Blanche, 2009","爱马仕 ",8.9,2009,"中性香","馥奇香调  "
"宝格丽 夜茉莉Bvlgari Jasmin Noir, 2008","宝格丽 ",8.8,2008,"女香 ","东方花香调  "
"宝格丽 黑茶Bvlgari Black, 1998","宝格丽 ",8.8,1998,"中性香","木质东方调  "
"大卫杜夫 冷水男士Davidoff Cool Water, 1988","大卫杜夫 ",8.8,1988,"男香 ","水生馥奇香调  "
"香奈儿 蔚蓝Chanel Bleu de Chanel, 2010","香奈儿 ",8.8,2010,"男香 ","木质馥奇香调  "
"迪奥 旷野Dior Sauvage, 2015","迪奥 ",8.8,2015,"男香 ","馥奇香调  "
"摩勒沃兹 血橙和罗勒古龙水Maurer & Wirtz 4711 Acqua Colonia Blood Orange & Basil, 2010","摩勒沃兹 ",8.8,2010,"中性香","柑橘馥奇香调  "
"宝格丽 碧玺（晶欣）Bvlgari Omnia Paraiba, 2015","宝格丽 ",8.8,2015,"女香 ","花香果香调  "
"祖玛珑 橙花Jo Malone Orange Blossom, 2003","祖玛珑 ",8.8,2003,"中性香","花香调  "
"圣罗兰 鸦片（红鸦）YSL Yves Saint Laurent Opium, 2009","圣罗兰 ",8.8,2009,"女香 ","辛辣东方调  "
"爱马仕 法布街24号Hermes 24 Faubourg, 1995","爱马仕 ",8.8,1995,"女香 ","花香甘苔调  "
"杜嘉班纳 唯我男士Dolce&Gabbana The One for Men, 2008","杜嘉班纳 ",8.8,2008,"男香 ","辛辣木质调  "
"高田贤三 毛竹（竹子）Kenzo pour Homme, 1991","高田贤三 ",8.8,1991,"男香 ","水生馥奇香调  "
"爱马仕 雨后花园（印度花园）Hermes Un Jardin Apres la Mousson, 2008","爱马仕 ",8.8,2008,"中性香","辛辣木质调  "
"艾莉萨博 同名女士Elie Saab Le Parfum, 2011","艾莉萨博 ",8.8,2011,"女香 ","花香调  "
"娇兰 姬琪（掌上明珠）Guerlain Jicky, 1889","娇兰 ",8.8,1889,"女香 ","东方馥奇香调  "
"爱马仕 凯莉驿马车Hermes Kelly Caleche, 2007","爱马仕 ",8.8,2007,"女香 ","木质花香调  "
"卡地亚 龙之吻Cartier Le Baiser Du Dragon, 2003","卡地亚 ",8.8,2003,"女香 ","木质东方调  "
